"","x"
"1",0.678536627669859
"2",0.670604288239474
"3",0.661512362379229
"4",0.653672715562706
"5",0.6462281082456
"6",0.65685457912324
"7",0.663780159371483
"8",0.656540171729016
"9",0.650131709232609
"10",0.651429736323064
"11",0.643007316601064
"12",0.637428046449258
"13",0.629987728449083
"14",0.622952941285436
"15",0.614503845864631
"16",0.694781991921329
"17",0.685060144321966
"18",0.675712472752519
"19",0.684275888132155
"20",0.674049718306641
"21",0.664049177021898
"22",0.657696012467749
"23",0.671455380776668
"24",0.66298650995318
"25",0.654563828541336
"26",0.65610094875365
"27",0.665991184113172
"28",0.656972504215115
"29",0.66124303559443
"30",0.653110303643364
"31",0.668388741186984
"32",0.709228331754614
"33",0.697892692286024
"34",0.717188664524746
"35",0.723114948233941
"36",0.713203878630971
"37",0.701658950051284
"38",0.696074982239409
"39",0.697794368016951
"40",0.700667273988603
"41",0.710848266783557
"42",0.739504454763901
"43",0.72810916366985
"44",0.737902988725383
"45",0.726507533935912
"46",0.728645896270665
"47",0.716684367671403
"48",0.705580958826426
"49",0.696546098004042
"50",0.685560119590134
"51",0.680336752989825
"52",0.686226749586065
"53",0.676460844957386
"54",0.666535694203689
"55",0.677835847184224
"56",0.679561241637081
"57",0.726101590491569
"58",0.719759636967735
"59",0.730728836349794
"60",0.734419523164549
"61",0.736460124896508
"62",0.724403087254225
"63",0.729182863054853
"64",0.719286608995678
"65",0.72572753391952
"66",0.71557829274645
"67",0.704048858836968
"68",0.70147739397783
"69",0.715246402099255
"70",0.720864290440314
"71",0.709651957779249
"72",0.70343997470016
"73",0.702774425986864
"74",0.707046420101144
"75",0.69727529619685
"76",0.714388399686191
"77",0.733316493380075
"78",0.724098429958871
"79",0.722604262297771
"80",0.71046935510024
"81",0.698542195048569
"82",0.701768620619682
"83",0.698348653489975
"84",0.688831639958101
"85",0.701100748894693
"86",0.696492008812119
"87",0.684906315640721
"88",0.675621760014711
"89",0.675337586402893
"90",0.669090012233834
"91",0.664288944479274
"92",0.658516084407804
"93",0.776913390202132
"94",0.765296681167443
"95",0.752081025832974
"96",0.73905355149959
"97",0.725975237796539
"98",0.717499721398457
"99",0.708900220691762
"100",0.745898799155544
"101",0.733070049796807
"102",0.733853200550649
"103",0.725888094455076
"104",0.717546250327678
"105",0.72924650652423
"106",0.71651920651564
"107",0.706933484164164
"108",0.707587833502773
"109",0.697526407109385
"110",0.68604022998928
"111",0.675012768045299
"112",0.664493844218853
"113",0.655457377345865
"114",0.654368834004132
"115",0.712236111367119
"116",0.703411418583435
"117",0.69816074224902
"118",0.687367090166959
"119",0.690949168996736
"120",0.681193476440879
"121",0.670429830549749
"122",0.676411384606687
"123",0.673243475030756
"124",0.664759169512497
"125",0.654217578739839
"126",0.645558849316576
"127",0.638908413865435
"128",0.63207838244185
"129",0.622096898598706
"130",0.623851853713601
"131",0.631483485291264
"132",0.623395637026326
"133",0.622068437607028
"134",0.617519957868842
"135",0.607904384768568
"136",0.618314643122638
"137",0.627955718227671
"138",0.631560185903144
"139",0.65444199150564
"140",0.647457189731957
"141",0.639643708717249
"142",0.632088956374821
"143",0.624730378146083
"144",0.619999341064742
"145",0.609925444461388
"146",0.602704341858043
"147",0.594563740792765
"148",0.589372133623611
"149",0.580266903127116
"150",0.585570348537133
"151",0.578981143506936
"152",0.572484376103073
"153",0.57091499646292
"154",0.562594209613894
"155",0.617330160128132
"156",0.611043647958402
"157",0.667470038357861
"158",0.656422365549809
"159",0.646993036349433
"160",0.645888480534212
"161",0.647045914789478
"162",0.645408835333264
"163",0.639947106161972
"164",0.637064838614998
"165",0.626044903438108
"166",0.67427009398516
"167",0.679642471654413
"168",0.680125637502431
"169",0.674647448117873
"170",0.700008874819075
"171",0.695498536474563
"172",0.700684249691842
"173",0.697867759243974
"174",0.686214034786633
"175",0.685671999902225
"176",0.681711791225682
"177",0.721482140453581
"178",0.723101360577808
"179",0.708410456291587
"180",0.695856525249218
"181",0.68436972474065
"182",0.680167445881746
"183",0.692973087653234
"184",0.684301554044977
"185",0.671516621689567
"186",0.675600682028486
"187",0.685149444699095
