"","x"
"1",1.02063209089618
"2",0.98875849923776
"3",0.957014837798108
"4",0.92734854720856
"5",0.899054559906148
"6",0.891271122806645
"7",0.880470578356823
"8",0.854765189450726
"9",0.830729142469088
"10",0.816383719642746
"11",0.791180686504767
"12",0.770644091759033
"13",0.748258526032984
"14",0.727264869753621
"15",0.705040848730513
"16",0.800131596819733
"17",0.775627214536596
"18",0.753627696967359
"19",0.757573415790592
"20",0.734961832591126
"21",0.713049698036537
"22",0.697170398244225
"23",0.711646424580272
"24",0.692116173900642
"25",0.674054467480556
"26",0.671531281112499
"27",0.682636829997435
"28",0.663889690078185
"29",0.666591437839236
"30",0.650197316973621
"31",0.670045824271256
"32",0.729461355616331
"33",0.707857447881809
"34",0.7347162547383
"35",0.740526516719946
"36",0.719941428043249
"37",0.698796303544547
"38",0.687187032840967
"39",0.688116770057255
"40",0.689876689600425
"41",0.704696988252874
"42",0.747738308509836
"43",0.726381940449865
"44",0.739562419423756
"45",0.718767330590162
"46",0.720725533844368
"47",0.699331620136932
"48",0.679726323447437
"49",0.663800863607355
"50",0.644925136117898
"51",0.63576370793678
"52",0.646118684321301
"53",0.629467928169212
"54",0.612949355259241
"55",0.633786624805949
"56",0.636668024095338
"57",0.715508558613435
"58",0.702926910926749
"59",0.72103244807271
"60",0.725649499025378
"61",0.727734496698038
"62",0.705464071371569
"63",0.712321232936018
"64",0.694620874829568
"65",0.705284524332061
"66",0.687216628295443
"67",0.667305360600679
"68",0.662809673456962
"69",0.686262347155996
"70",0.695519384951088
"71",0.675968944318366
"72",0.665336344589509
"73",0.664584002479926
"74",0.671786830701415
"75",0.655335457667157
"76",0.68391958642458
"77",0.714383820108938
"78",0.698575664191427
"79",0.695168663065048
"80",0.674913023809183
"81",0.655302027084512
"82",0.660974886550349
"83",0.655451960792089
"84",0.64002616605999
"85",0.661523919882502
"86",0.654060547394051
"87",0.635798537971441
"88",0.621173029767328
"89",0.622052592519715
"90",0.612782126217497
"91",0.606304933634937
"92",0.597647016186472
"93",0.788406943641229
"94",0.767593334981085
"95",0.744431131579435
"96",0.722051011256349
"97",0.70015705645361
"98",0.686328152533915
"99",0.672041116695461
"100",0.732974480819731
"101",0.711486844010956
"102",0.711487489149613
"103",0.698415740351911
"104",0.684470726927632
"105",0.703091017747083
"106",0.682582998693042
"107",0.666968550745575
"108",0.66889135788411
"109",0.652805254137816
"110",0.635159846902516
"111",0.618193225983492
"112",0.601438618140258
"113",0.587531883127389
"114",0.588162154021014
"115",0.686101205810088
"116",0.670542652414373
"117",0.661459149564469
"118",0.643632217819705
"119",0.649484026375294
"120",0.634034069105163
"121",0.616099257298174
"122",0.626581925938204
"123",0.621741749217303
"124",0.607857865002525
"125",0.591571570814985
"126",0.578254962558202
"127",0.569395137909199
"128",0.560295374310527
"129",0.545421613853801
"130",0.551480072520093
"131",0.565837434721287
"132",0.553704396838422
"133",0.552705260750471
"134",0.546242736949708
"135",0.531912241668548
"136",0.550639937712845
"137",0.568332693974491
"138",0.574718133453092
"139",0.615827665250935
"140",0.603914777644077
"141",0.591765664709435
"142",0.580054187407699
"143",0.568582383563236
"144",0.561315223724074
"145",0.545847972950359
"146",0.535022963062122
"147",0.522589648885944
"148",0.515078488681521
"149",0.502146808797814
"150",0.512251556580817
"151",0.503780545161121
"152",0.494770172436517
"153",0.495193973444425
"154",0.482591185526975
"155",0.572667314844975
"156",0.561600624469122
"157",0.649279339102216
"158",0.630260121310022
"159",0.612749965224718
"160",0.611884495130173
"161",0.614508721010999
"162",0.611531885167917
"163",0.60067185998123
"164",0.597194516359332
"165",0.578524720216074
"166",0.654992047959594
"167",0.66161415496692
"168",0.661732493690346
"169",0.65364235850373
"170",0.693487246130015
"171",0.685397657541573
"172",0.692843263033274
"173",0.686279334460063
"174",0.66651094747281
"175",0.664612442375545
"176",0.658191221392916
"177",0.719556884579968
"178",0.719951820430668
"179",0.69574613237375
"180",0.675639596982203
"181",0.658484415712519
"182",0.648710551402233
"183",0.667030274956864
"184",0.655035578505248
"185",0.634901528017013
"186",0.640993002050266
"187",0.655283163659771
