"","x"
"1",1.0268357273249
"2",0.995276476147831
"3",0.963364856165122
"4",0.934099266803917
"5",0.906310565822245
"6",0.896782555170908
"7",0.886986897939842
"8",0.861924762312418
"9",0.838539076176888
"10",0.825143747664894
"11",0.800215680291604
"12",0.778930457581386
"13",0.757001142491243
"14",0.735290141421293
"15",0.713336786787677
"16",0.809541885947531
"17",0.785158559654547
"18",0.762394987654026
"19",0.763482344182736
"20",0.740953128819692
"21",0.718951111338658
"22",0.701962083079943
"23",0.713591066355574
"24",0.694595463565845
"25",0.675983631369849
"26",0.671745576395483
"27",0.680730707798376
"28",0.661886734980869
"29",0.666284379209108
"30",0.650594803665874
"31",0.672412467031123
"32",0.734072942327271
"33",0.712293442417812
"34",0.735809398159467
"35",0.739712033133271
"36",0.718966774596573
"37",0.697854038812207
"38",0.687380828979219
"39",0.686777015155741
"40",0.687213338274122
"41",0.700498643309386
"42",0.74587874119694
"43",0.724387072681347
"44",0.739422282575958
"45",0.71830305794706
"46",0.718887303705882
"47",0.697644039172354
"48",0.677986444370513
"49",0.662838541526138
"50",0.644236492079093
"51",0.634287912669874
"52",0.643237155934591
"53",0.627132704505977
"54",0.61052082079552
"55",0.633132689113948
"56",0.637415147451353
"57",0.718616322157809
"58",0.707042773604099
"59",0.722342198833656
"60",0.725156547385093
"61",0.725765513406617
"62",0.703687661591857
"63",0.712151197611548
"64",0.695272208920273
"65",0.703992280067012
"66",0.686727541880703
"67",0.667129360627695
"68",0.663871910910495
"69",0.689099760862959
"70",0.696218229904088
"71",0.677161934431854
"72",0.667515245771683
"73",0.66519475358099
"74",0.67386868275799
"75",0.656847474247056
"76",0.68298770565849
"77",0.711529904256299
"78",0.696614643282248
"79",0.69237248780109
"80",0.672177554878813
"81",0.652947526970486
"82",0.657693806168681
"83",0.651619124295904
"84",0.636040645011743
"85",0.659051992334304
"86",0.651037218823881
"87",0.633066197289659
"88",0.618354491979092
"89",0.620347528330743
"90",0.611878176360691
"91",0.606261192690678
"92",0.596946913680036
"93",0.784769919454129
"94",0.763949720993663
"95",0.741025191175364
"96",0.718815367522193
"97",0.697258303768865
"98",0.684032822385407
"99",0.669671676100307
"100",0.731905160043694
"101",0.710403568144639
"102",0.709770393795975
"103",0.697243178274091
"104",0.683823921566849
"105",0.701436188718554
"106",0.681150274385781
"107",0.665361746828218
"108",0.668060920801947
"109",0.651777783715039
"110",0.634384352526889
"111",0.617664480487068
"112",0.600852019284289
"113",0.586758902700794
"114",0.588068398149915
"115",0.684436113374952
"116",0.668779865640114
"117",0.659556916712361
"118",0.641835698998121
"119",0.647510933667244
"120",0.632321548359941
"121",0.614572204128568
"122",0.624994269779948
"123",0.620132192188657
"124",0.6065033828516
"125",0.590518675463353
"126",0.577402928217853
"127",0.568634950299968
"128",0.559624845396398
"129",0.544896905194368
"130",0.550997468618157
"131",0.565262469301915
"132",0.553174611858122
"133",0.552300444227976
"134",0.546382511541347
"135",0.532123230535866
"136",0.551214350778558
"137",0.569214672351044
"138",0.576005388084328
"139",0.615938413225442
"140",0.604215334915931
"141",0.591948427764795
"142",0.580085981227849
"143",0.568716297121558
"144",0.561582532704017
"145",0.546248138541159
"146",0.5355817628439
"147",0.52329232350812
"148",0.516112928541404
"149",0.503118520076683
"150",0.513749878915894
"151",0.504893819055228
"152",0.496141782129748
"153",0.496065138790382
"154",0.48344357616457
"155",0.574376504903954
"156",0.563594823174119
"157",0.65205102731365
"158",0.633204104801793
"159",0.61589502624779
"160",0.614129003946799
"161",0.615891009150823
"162",0.612544853793462
"163",0.602110522471308
"164",0.598114097875456
"165",0.5794877100392
"166",0.655052495047681
"167",0.662006039319959
"168",0.662449796060478
"169",0.654041727949852
"170",0.694300258779213
"171",0.685909080696022
"172",0.693009489248103
"173",0.686626308982308
"174",0.666932078814693
"175",0.665316140401331
"176",0.658579289563074
"177",0.719546716745356
"178",0.720114947985386
"179",0.695881628167611
"180",0.675769188089309
"181",0.658540689027258
"182",0.648688355097801
"183",0.667218931776724
"184",0.655147773632042
"185",0.635028981857551
"186",0.641431483474954
"187",0.656178553626786
